WAGE,AGE,RACE,STATUS,AREA,GENDER,EDUCATION
120000,41,WHITE,SINGLE,URBAN,FEMALE,20
120000,59,OTHER,MARRIED,URBAN,MALE,20
120000,35,WHITE,MARRIED,URBAN,FEMALE,20
120000,64,WHITE,MARRIED,RURAL,MALE,14
120000,31,WHITE,MARRIED,URBAN,MALE,20
120000,57,OTHER,MARRIED,URBAN,MALE,20
120000,49,OTHER,MARRIED,URBAN,MALE,20
120000,39,WHITE,MARRIED,URBAN,MALE,20
120000,54,WHITE,MARRIED,URBAN,MALE,20
120000,39,OTHER,SINGLE,URBAN,FEMALE,20
120000,58,WHITE,MARRIED,URBAN,MALE,20
120000,48,WHITE,MARRIED,URBAN,MALE,20
120000,42,WHITE,MARRIED,URBAN,MALE,20
120000,41,WHITE,MARRIED,URBAN,MALE,20
120000,24,WHITE,SINGLE,URBAN,MALE,8
119600,51,WHITE,MARRIED,URBAN,MALE,20
119000,56,OTHER,MARRIED,URBAN,MALE,20
119000,45,WHITE,MARRIED,URBAN,MALE,20
119000,59,OTHER,MARRIED,URBAN,MALE,20
119000,35,WHITE,MARRIED,URBAN,MALE,20
118000,55,WHITE,MARRIED,URBAN,MALE,20
117000,54,WHITE,MARRIED,URBAN,MALE,20
117000,45,WHITE,MARRIED,URBAN,MALE,20
116000,51,WHITE,MARRIED,URBAN,MALE,20
116000,31,WHITE,MARRIED,URBAN,MALE,20
116000,28,WHITE,SINGLE,URBAN,MALE,20
115360,42,WHITE,SINGLE,URBAN,MALE,16
115000,44,WHITE,MARRIED,URBAN,MALE,20
115000,27,WHITE,SINGLE,RURAL,MALE,14
115000,39,OTHER,MARRIED,URBAN,FEMALE,20
115000,51,WHITE,SINGLE,URBAN,MALE,16
115000,37,WHITE,MARRIED,URBAN,MALE,14
115000,44,WHITE,MARRIED,URBAN,MALE,20
115000,52,WHITE,SINGLE,URBAN,MALE,16
115000,44,WHITE,SINGLE,URBAN,MALE,16
115000,62,WHITE,MARRIED,URBAN,MALE,20
114000,43,WHITE,SINGLE,URBAN,FEMALE,20
114000,31,WHITE,MARRIED,URBAN,MALE,20
113300,39,WHITE,MARRIED,URBAN,MALE,16
113000,56,WHITE,MARRIED,URBAN,MALE,20
113000,36,WHITE,MARRIED,URBAN,MALE,20
113000,31,OTHER,MARRIED,URBAN,MALE,20
112000,46,WHITE,MARRIED,URBAN,MALE,20
112000,32,WHITE,MARRIED,URBAN,MALE,20
110014,56,WHITE,MARRIED,URBAN,MALE,16
110000,34,WHITE,MARRIED,URBAN,MALE,16
110000,41,WHITE,SINGLE,URBAN,MALE,20
110000,59,WHITE,SINGLE,URBAN,MALE,20
110000,29,WHITE,SINGLE,URBAN,MALE,14
110000,34,WHITE,MARRIED,URBAN,MALE,20
110000,34,WHITE,MARRIED,URBAN,MALE,20
110000,48,WHITE,SINGLE,URBAN,MALE,20
110000,36,WHITE,MARRIED,URBAN,MALE,20
110000,36,WHITE,MARRIED,URBAN,FEMALE,20
110000,37,WHITE,MARRIED,URBAN,MALE,20
110000,47,WHITE,SINGLE,URBAN,FEMALE,20
110000,38,WHITE,SINGLE,URBAN,MALE,20
110000,44,WHITE,MARRIED,URBAN,MALE,16
110000,49,WHITE,SINGLE,RURAL,MALE,20
110000,59,WHITE,MARRIED,URBAN,MALE,20
110000,39,WHITE,MARRIED,URBAN,MALE,20
110000,40,WHITE,MARRIED,URBAN,MALE,16
110000,46,OTHER,MARRIED,RURAL,MALE,20
110000,53,WHITE,MARRIED,URBAN,MALE,16
110000,54,WHITE,MARRIED,URBAN,MALE,20
110000,54,WHITE,MARRIED,URBAN,MALE,20
110000,51,WHITE,MARRIED,URBAN,MALE,20
110000,51,WHITE,MARRIED,URBAN,MALE,20
110000,50,WHITE,MARRIED,RURAL,MALE,20
109999,40,WHITE,MARRIED,URBAN,FEMALE,16
109000,30,WHITE,MARRIED,RURAL,FEMALE,20
109000,34,WHITE,MARRIED,URBAN,MALE,20
109000,40,WHITE,MARRIED,URBAN,MALE,16
108055,36,OTHER,MARRIED,URBAN,FEMALE,20
108000,27,WHITE,MARRIED,URBAN,MALE,16
108000,38,WHITE,MARRIED,RURAL,MALE,16
108000,41,WHITE,MARRIED,URBAN,FEMALE,20
107655,47,OTHER,SINGLE,URBAN,FEMALE,20
107322,55,WHITE,MARRIED,URBAN,MALE,20
107000,34,WHITE,MARRIED,URBAN,MALE,16
107000,46,WHITE,MARRIED,URBAN,MALE,20
106224,32,BlACK,SINGLE,URBAN,MALE,14
106000,41,WHITE,MARRIED,URBAN,MALE,20
106000,52,WHITE,SINGLE,URBAN,FEMALE,20
106000,49,WHITE,MARRIED,URBAN,MALE,20
106000,50,WHITE,MARRIED,URBAN,FEMALE,16
106000,37,WHITE,MARRIED,URBAN,MALE,20
106000,54,BlACK,MARRIED,URBAN,MALE,20
105360,43,OTHER,MARRIED,RURAL,MALE,14
105000,55,WHITE,SINGLE,URBAN,MALE,20
105000,40,OTHER,MARRIED,URBAN,FEMALE,20
105000,43,OTHER,MARRIED,URBAN,MALE,20
105000,56,WHITE,MARRIED,URBAN,MALE,20
105000,51,WHITE,MARRIED,URBAN,FEMALE,20
105000,34,WHITE,MARRIED,URBAN,MALE,20
105000,38,WHITE,MARRIED,URBAN,MALE,20
105000,62,WHITE,SINGLE,URBAN,MALE,20
105000,42,WHITE,MARRIED,URBAN,FEMALE,20
105000,54,OTHER,SINGLE,URBAN,FEMALE,20
105000,49,BlACK,MARRIED,URBAN,MALE,20
105000,54,OTHER,SINGLE,URBAN,FEMALE,20
105000,34,OTHER,MARRIED,URBAN,FEMALE,20
104000,42,WHITE,MARRIED,URBAN,MALE,20
103360,60,WHITE,MARRIED,RURAL,MALE,14
103000,60,WHITE,SINGLE,URBAN,FEMALE,16
103000,53,WHITE,MARRIED,URBAN,FEMALE,16
102000,51,WHITE,MARRIED,URBAN,MALE,16
102000,51,WHITE,MARRIED,URBAN,MALE,20
102000,41,OTHER,MARRIED,URBAN,FEMALE,14
102000,45,WHITE,MARRIED,URBAN,MALE,20
102000,36,WHITE,MARRIED,URBAN,FEMALE,20
102000,60,WHITE,SINGLE,URBAN,FEMALE,20
101000,36,WHITE,SINGLE,URBAN,FEMALE,16
101000,61,WHITE,MARRIED,URBAN,MALE,20
100255,35,WHITE,MARRIED,URBAN,FEMALE,20
100027,44,WHITE,MARRIED,URBAN,MALE,20
100005,21,BlACK,SINGLE,URBAN,FEMALE,16
100002,54,WHITE,SINGLE,URBAN,MALE,20
100000,41,WHITE,MARRIED,URBAN,MALE,20
100000,42,WHITE,MARRIED,URBAN,FEMALE,14
100000,51,WHITE,MARRIED,URBAN,MALE,16
100000,43,WHITE,MARRIED,URBAN,MALE,14
100000,44,WHITE,MARRIED,URBAN,MALE,14
100000,44,WHITE,MARRIED,RURAL,MALE,20
100000,36,WHITE,MARRIED,URBAN,MALE,16
100000,47,WHITE,MARRIED,URBAN,FEMALE,20
100000,49,WHITE,SINGLE,URBAN,FEMALE,20
100000,36,WHITE,SINGLE,URBAN,FEMALE,16
100000,36,OTHER,MARRIED,URBAN,MALE,20
100000,52,WHITE,MARRIED,URBAN,MALE,20
100000,56,WHITE,MARRIED,URBAN,FEMALE,20
100000,62,WHITE,MARRIED,URBAN,MALE,0
100000,56,WHITE,MARRIED,URBAN,MALE,20
100000,40,OTHER,MARRIED,RURAL,MALE,20
100000,49,WHITE,MARRIED,URBAN,MALE,16
100000,41,WHITE,MARRIED,URBAN,MALE,16
100000,58,WHITE,MARRIED,URBAN,MALE,20
100000,28,OTHER,SINGLE,URBAN,MALE,14
100000,55,OTHER,SINGLE,URBAN,FEMALE,20
100000,39,WHITE,MARRIED,URBAN,MALE,20
100000,49,WHITE,MARRIED,URBAN,FEMALE,20
100000,44,WHITE,MARRIED,URBAN,MALE,20
100000,53,WHITE,MARRIED,URBAN,MALE,20
100000,55,WHITE,MARRIED,URBAN,MALE,16
100000,53,WHITE,MARRIED,URBAN,MALE,16
100000,51,OTHER,SINGLE,URBAN,FEMALE,20
100000,51,WHITE,MARRIED,URBAN,MALE,20
100000,48,WHITE,SINGLE,URBAN,MALE,16
100000,52,WHITE,SINGLE,URBAN,FEMALE,20
100000,44,WHITE,MARRIED,URBAN,MALE,14
100000,54,WHITE,MARRIED,URBAN,MALE,20
100000,63,WHITE,MARRIED,URBAN,MALE,20
100000,51,WHITE,MARRIED,URBAN,FEMALE,20
100000,45,WHITE,MARRIED,URBAN,MALE,20
100000,41,WHITE,MARRIED,URBAN,MALE,16
100000,58,WHITE,SINGLE,URBAN,FEMALE,14
100000,35,WHITE,MARRIED,URBAN,MALE,20
100000,56,WHITE,MARRIED,URBAN,MALE,20
100000,44,WHITE,MARRIED,URBAN,MALE,20
100000,48,WHITE,MARRIED,RURAL,MALE,20
100000,32,WHITE,MARRIED,RURAL,MALE,16
100000,47,WHITE,MARRIED,URBAN,MALE,20
100000,55,WHITE,MARRIED,URBAN,MALE,20
100000,31,WHITE,MARRIED,URBAN,MALE,20
100000,60,OTHER,MARRIED,URBAN,MALE,20
100000,60,BlACK,SINGLE,URBAN,MALE,14
100000,50,WHITE,MARRIED,URBAN,MALE,20
100000,49,WHITE,MARRIED,URBAN,MALE,20
100000,62,WHITE,SINGLE,URBAN,FEMALE,20
100000,47,WHITE,MARRIED,URBAN,MALE,20
100000,39,WHITE,MARRIED,URBAN,MALE,20
100000,47,WHITE,MARRIED,URBAN,MALE,20
100000,46,WHITE,MARRIED,URBAN,FEMALE,20
100000,37,WHITE,MARRIED,URBAN,MALE,20
100000,39,WHITE,MARRIED,URBAN,MALE,16
100000,41,WHITE,MARRIED,RURAL,MALE,16
100000,51,WHITE,MARRIED,RURAL,MALE,20
100000,48,WHITE,MARRIED,URBAN,MALE,20
100000,43,WHITE,MARRIED,URBAN,MALE,20
100000,53,WHITE,MARRIED,URBAN,MALE,20
100000,47,WHITE,SINGLE,URBAN,FEMALE,20
100000,53,WHITE,SINGLE,URBAN,FEMALE,14
100000,26,WHITE,MARRIED,URBAN,FEMALE,20
100000,42,WHITE,MARRIED,URBAN,MALE,20
100000,54,WHITE,MARRIED,URBAN,MALE,20
100000,55,WHITE,MARRIED,URBAN,MALE,20
100000,42,BlACK,MARRIED,URBAN,MALE,20
100000,35,WHITE,MARRIED,URBAN,FEMALE,20
100000,51,WHITE,MARRIED,URBAN,MALE,20
100000,65,WHITE,MARRIED,URBAN,MALE,20
100000,48,WHITE,MARRIED,URBAN,FEMALE,14
100000,39,WHITE,MARRIED,URBAN,MALE,20
100000,36,WHITE,SINGLE,URBAN,MALE,20
100000,48,WHITE,MARRIED,RURAL,MALE,16
100000,52,WHITE,SINGLE,URBAN,MALE,20
100000,47,WHITE,MARRIED,URBAN,MALE,20
100000,32,WHITE,MARRIED,URBAN,MALE,14
100000,53,BlACK,MARRIED,URBAN,MALE,20
100000,48,WHITE,MARRIED,URBAN,MALE,20
100000,54,WHITE,MARRIED,URBAN,MALE,14
100000,49,WHITE,MARRIED,URBAN,MALE,20
100000,41,WHITE,MARRIED,URBAN,MALE,16
100000,43,WHITE,MARRIED,URBAN,MALE,16
100000,38,WHITE,MARRIED,URBAN,MALE,20
100000,53,WHITE,MARRIED,URBAN,MALE,20
100000,45,WHITE,MARRIED,URBAN,MALE,14
100000,40,OTHER,MARRIED,URBAN,MALE,20
100000,54,WHITE,MARRIED,URBAN,MALE,20
100000,53,OTHER,MARRIED,URBAN,MALE,20
100000,46,WHITE,MARRIED,RURAL,MALE,20
100000,40,WHITE,MARRIED,RURAL,MALE,20
99996,54,WHITE,MARRIED,URBAN,MALE,20
99200,43,WHITE,MARRIED,URBAN,MALE,16
99000,52,WHITE,MARRIED,URBAN,MALE,20
99000,56,WHITE,SINGLE,URBAN,FEMALE,20
99000,44,WHITE,MARRIED,URBAN,MALE,20
99000,66,WHITE,MARRIED,RURAL,MALE,16
98400,58,WHITE,MARRIED,RURAL,MALE,20
98000,48,WHITE,MARRIED,URBAN,FEMALE,20
98000,47,WHITE,MARRIED,URBAN,MALE,20
98000,41,WHITE,SINGLE,URBAN,FEMALE,20
98000,30,OTHER,SINGLE,URBAN,FEMALE,20
98000,48,WHITE,MARRIED,URBAN,MALE,20
98000,37,WHITE,MARRIED,URBAN,MALE,20
97335,29,WHITE,SINGLE,URBAN,FEMALE,20
97000,55,WHITE,MARRIED,URBAN,FEMALE,16
96792,40,WHITE,MARRIED,URBAN,MALE,16
96792,44,WHITE,MARRIED,URBAN,MALE,16
96600,58,WHITE,MARRIED,URBAN,MALE,16
96456,63,WHITE,MARRIED,URBAN,MALE,20
96000,51,OTHER,MARRIED,URBAN,FEMALE,20
96000,46,WHITE,MARRIED,URBAN,MALE,20
96000,41,WHITE,MARRIED,URBAN,MALE,20
96000,40,WHITE,MARRIED,URBAN,MALE,20
96000,53,WHITE,MARRIED,URBAN,MALE,16
96000,21,WHITE,MARRIED,URBAN,MALE,14
96000,57,WHITE,MARRIED,URBAN,FEMALE,20
95853,55,WHITE,MARRIED,URBAN,MALE,20
95000,55,WHITE,MARRIED,URBAN,MALE,14
95000,39,WHITE,MARRIED,URBAN,MALE,20
95000,45,WHITE,MARRIED,URBAN,MALE,20
95000,37,WHITE,MARRIED,URBAN,FEMALE,14
95000,53,WHITE,SINGLE,URBAN,MALE,20
95000,35,OTHER,MARRIED,URBAN,FEMALE,20
95000,44,WHITE,MARRIED,RURAL,MALE,16
95000,41,WHITE,MARRIED,RURAL,MALE,20
95000,37,WHITE,MARRIED,URBAN,MALE,16
95000,33,WHITE,MARRIED,URBAN,MALE,20
95000,47,WHITE,MARRIED,URBAN,FEMALE,16
95000,32,WHITE,MARRIED,RURAL,MALE,20
95000,42,WHITE,MARRIED,URBAN,MALE,20
95000,43,WHITE,MARRIED,URBAN,FEMALE,14
95000,47,WHITE,MARRIED,URBAN,MALE,20
95000,64,OTHER,SINGLE,URBAN,MALE,20
94200,39,WHITE,SINGLE,URBAN,MALE,20
94000,41,WHITE,MARRIED,URBAN,MALE,16
94000,55,WHITE,MARRIED,URBAN,MALE,0
94000,49,WHITE,MARRIED,URBAN,FEMALE,20
93000,50,WHITE,MARRIED,URBAN,MALE,20
93000,41,OTHER,SINGLE,RURAL,MALE,20
92255,43,WHITE,MARRIED,URBAN,FEMALE,20
92255,26,WHITE,SINGLE,URBAN,FEMALE,20
92000,52,WHITE,MARRIED,URBAN,MALE,20
92000,43,WHITE,SINGLE,URBAN,MALE,20
92000,39,BlACK,MARRIED,URBAN,MALE,16
92000,32,WHITE,MARRIED,URBAN,FEMALE,14
92000,47,WHITE,MARRIED,URBAN,MALE,14
92000,56,WHITE,MARRIED,URBAN,MALE,20
92000,46,WHITE,MARRIED,URBAN,MALE,16
92000,35,WHITE,MARRIED,URBAN,MALE,20
91910,49,WHITE,SINGLE,URBAN,FEMALE,20
91360,52,WHITE,MARRIED,RURAL,MALE,20
91360,46,WHITE,MARRIED,RURAL,MALE,14
91360,51,WHITE,MARRIED,URBAN,MALE,20
